sample,value
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,0
15,1
16,1
17,1
18,0
19,0
20,0
21,1
22,0
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,0
36,1
37,1
38,1
39,1
40,1
41,0
42,0
43,1
44,1
45,0
46,1
47,1
48,1
49,1
50,0
51,1
52,1
53,0
54,1
55,0
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,0
65,1
66,1
67,1
68,1
69,1
70,0
71,1
72,1
73,1
74,1
75,0
76,0
77,1
78,1
79,0
80,1
81,1
82,0
83,1
84,0
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,0
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,0
113,0
114,1
115,1
116,1
117,1
118,0
119,0
120,1
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,0
130,1
131,0
132,1
133,0
134,1
135,1
136,0
137,1
138,1
139,0
140,1
141,1
142,1
143,1
144,1
145,1
146,0
147,0
148,1
149,1
150,1
151,1
152,0
153,1
154,1
155,1
156,1
157,1
158,1
159,0
160,1
161,1
162,1
163,0
164,1
165,1
166,1
167,1
168,1
169,1
170,0
171,1
172,0
173,1
174,0
175,0
176,1
177,1
178,1
179,1
180,0
181,1
182,1
183,1
184,1
185,0
186,1
187,1
188,1
189,0
190,1
191,0
192,1
193,0
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,0
234,1
235,1
236,1
237,1
238,1
239,0
240,1
241,1
242,1
243,1
244,1
245,1
246,0
247,0
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,0
349,0
350,1
351,0
352,1
353,1
354,1
355,0
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,0
376,1
377,1
378,1
379,1
380,0
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,0
389,0
390,0
391,1
392,0
393,1
394,0
395,1
396,1
397,0
398,0
399,1
400,1
401,0
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,0
410,1
411,1
412,0
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,0
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,0
435,0
436,1
437,1
438,1
439,1
440,1
441,0
442,1
443,1
444,1
445,0
446,1
447,0
448,1
449,1
450,1
451,1
452,0
453,1
454,0
455,1
456,0
457,1
458,1
459,1
460,1
461,1
462,0
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,0
472,0
473,1
474,0
475,1
476,0
477,1
478,0
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,0
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,0
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,0
527,0
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,0
538,1
539,1
540,1
541,0
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,0
558,1
559,0
560,1
561,0
562,1
563,0
564,1
565,1
566,1
567,0
568,0
569,1
570,0
571,0
572,0
573,1
574,1
575,1
576,1
577,1
578,0
579,1
580,1
581,1
582,0
583,1
584,0
585,1
586,0
587,1
588,1
589,0
590,1
591,1
592,1
593,0
594,1
595,1
596,0
597,1
598,1
599,1
600,1
601,0
602,0
603,0
604,1
605,1
606,0
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,0
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,0
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,1
659,0
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,0
687,1
688,0
689,1
690,0
691,0
692,0
693,0
694,0
695,1
696,1
697,0
698,1
699,1
700,1
701,1
702,1
703,1
704,0
705,0
706,1
707,1
708,1
709,1
710,0
711,1
712,1
713,1
714,1
715,1
716,0
717,0
718,0
719,0
720,1
721,0
722,0
723,1
724,1
725,0
726,0
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,0
739,1
740,0
741,1
742,1
743,0
744,1
745,1
746,1
747,1
748,1
749,1
750,1
751,1
752,1
753,1
754,1
755,1
756,1
757,0
758,1
759,0
760,1
761,1
762,1
763,1
764,1
765,0
766,1
767,0
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,0
787,1
788,0
789,1
790,1
791,1
792,1
793,1
794,0
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,1
805,1
806,1
807,1
808,1
809,1
810,1
811,1
812,1
